Date	Commit	CMF	CML	CMVL	CSF	CSL	CSVL	CBF	CBL	CBVL
2011/07/16	4caab32	0	0	0	6	15	0	0	0	0
2011/07/16	45d5002	0	0	0	3	23	0	0	0	0
2011/07/16	6ff88a6	0	0	0	1	2	0	0	0	0
2011/07/16	2c2def1	0	0	0	1	18	0	0	0	0
2011/07/16	47365ab	0	0	0	1	2	0	0	0	0
2011/07/16	7ed9af7	0	0	0	1	17	0	0	0	0
2011/07/16	e4305fe	0	0	0	2	25	0	0	0	0
2011/07/16	90c300c	0	0	0	9	130	0	0	0	0
2011/07/16	e505c43	0	0	0	5	394	0	1	2	0
2011/07/16	1ab9f6c	0	0	0	3	90	0	0	0	0
2011/07/16	a27367d	0	0	0	6	30	0	0	0	0
2011/07/16	34c1b7b	0	0	0	6	84	0	0	0	0
2011/07/16	47c1b49	0	0	0	5	335	0	0	0	0
2011/07/16	6ea12a0	0	0	0	1	28	0	0	0	0
2011/07/16	c06d495	0	0	0	1	270	0	0	0	0
2011/07/16	d670ac0	0	0	0	4	53	0	0	0	0
2011/07/16	2a75ca4	1	1	1	0	0	0	0	0	0
2011/07/16	f6a7cd0	0	0	0	1	75	0	0	0	0
2011/07/16	93b3790	0	0	0	2	21	0	0	0	0
2011/07/16	d873d79	0	0	0	1	2	0	0	0	0
2011/07/15	e4c0d0e	0	0	0	1	5	0	0	0	0
2011/07/16	691abd0	0	0	0	2	14	0	0	0	0
2011/07/15	8c11642	15	72	60	540	31543	49	6	32	4
2011/07/15	250bae8	0	0	0	0	0	0	0	0	0
2011/07/15	43d1b65	0	0	0	0	0	0	0	0	0
2011/07/15	35ce595	0	0	0	0	0	0	0	0	0
2011/07/15	b9066f6	0	0	0	0	0	0	0	0	0
2011/07/15	4c4ab12	0	0	0	0	0	0	0	0	0
2011/07/15	1765a36	0	0	0	1	1	0	0	0	0
2011/07/15	900b170	0	0	0	1	10	0	0	0	0
2011/07/15	f85ef69	0	0	0	2	4	0	0	0	0
2011/07/15	674e405	0	0	0	1	8	0	0	0	0
2011/07/15	ab1350b	0	0	0	1	9	0	0	0	0
2011/07/15	ee19cc4	0	0	0	1	41	0	0	0	0
2011/07/15	f3dc158	0	0	0	2	27	0	0	0	0
2011/07/15	ae82a8d	0	0	0	1	12	0	0	0	0
2011/07/16	84652e8	0	0	0	1	22	0	0	0	0
2011/07/15	1b74c25	0	0	0	1	27	0	0	0	0
2011/07/15	f197c27	0	0	0	1	31	0	0	0	0
2011/07/15	499f3ed	0	0	0	1	17	0	0	0	0
2011/07/15	1745680	0	0	0	5	148	0	0	0	0
2011/07/15	e1ca12d	0	0	0	4	163	0	0	0	0
2011/07/15	ebc63e5	0	0	0	1	11	0	0	0	0
2011/07/15	058c5c9	0	0	0	2	39	0	0	0	0
2011/07/15	13e0e95	0	0	0	1	1	0	0	0	0
2011/07/15	177e4f9	0	0	0	1	2	0	0	0	0
2011/07/15	49b2868	1	12	4	10	1214	42	1	1	1
2011/07/15	094b5d7	0	0	0	1	5	0	0	0	0
2011/07/15	17edf2d	0	0	0	1	10	0	0	0	0
2011/07/15	7ae033c	0	0	0	10	211	4	0	0	0
2011/07/15	ba1389d	2	9	8	19	2058	24	1	1	1
2011/07/15	f0c077a	0	0	0	4	19	0	0	0	0
2011/07/15	1d8047a	0	0	0	1	2	0	0	0	0
2011/07/15	a5e4fd8	0	0	0	1	2	0	0	0	0
2011/07/15	3b5fe85	0	0	0	2	26	0	0	0	0
